suite,provider_label,prompt_label,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
form-identity-guard-v2,openai-large:gpt-4o,document-extraction:v1-production:vision,2,0.883739,2,0,3259,2686,0.00901
form-identity-guard-v2,openai-large:gpt-4o,document-extraction:v2-evidence-bound:vision,2,0.914583,2,0,3936,2980,0.010015
form-identity-guard-v2,openai-small:gpt-4o-mini,document-extraction:v1-production:vision,2,0.866515,2,0,2520,52461,0.008019
form-identity-guard-v2,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:vision,2,0.866515,2,0,3420,52747,0.0080745
