suite,eval_id,provider_id,provider_label,prompt_label,prompt_version,input_mode,case_id,variant,classification_level,score,passed,api_error,latency_ms,cost,prompt_tokens,completion_tokens,total_tokens
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,0.8665146909827761,True,False,2488,0.004008,26064,164,26228
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,0.8665146909827761,True,False,3436,0.004036949999999999,26193,180,26373
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o,openai-large:gpt-4o,document-extraction:v1-production:vision,v1-production,vision,MA-01,flattened,,0.8837386018237082,True,False,3011,0.004505,1190,153,1343
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o,openai-large:gpt-4o,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,flattened,,1.0,True,False,2681,0.0049775,1319,168,1487
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v1-production:vision,v1-production,vision,MA-01,scanned,,0.8665146909827761,True,False,2553,0.004011,26064,169,26233
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o-mini,openai-small:gpt-4o-mini,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,scanned,,0.8665146909827761,True,False,3405,0.00403755,26193,181,26374
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o,openai-large:gpt-4o,document-extraction:v1-production:vision,v1-production,vision,MA-01,scanned,,0.8837386018237082,True,False,3507,0.004505,1190,153,1343
form-identity-guard-v2,eval-B1U-2026-08-23T00:49:26,openai:chat:gpt-4o,openai-large:gpt-4o,document-extraction:v2-evidence-bound:vision,v2-evidence-bound,vision,MA-01,scanned,,0.8291669757436392,True,False,5190,0.0050375,1319,174,1493
